charity_ID,state_ID
50588,6
50611,0
50611,1
50633,6
50662,1
50677,0
50677,1
50677,3
50677,6
50677,7
50677,2
50677,5
50677,4
50704,1
50705,4
50720,3
50747,1
50780,7
50818,1
50833,1
50882,3
50949,1
50949,6
50960,1
51029,1
51036,1
51044,6
51139,1
51139,4
51189,6
51205,4
51208,6
51254,6
51290,7
51314,6
51332,1
51427,6
51503,7
51509,1
51509,3
51518,5
51523,3
51530,6
51609,6
51626,1
51629,1
51639,3
51679,3
51748,1
51779,1
51809,1
51809,3
51809,6
51809,7
51809,2
51809,5
51809,4
51838,1
51856,7
51894,1
51910,1
51934,6
51963,1
51972,1
52034,0
52034,1
52034,3
52034,6
52034,7
52034,4
52055,3
52060,1
52085,6
52115,1
52122,1
52154,6
52182,6
52189,6
52198,3
52220,7
52238,1
52247,7
52302,1
52366,6
52380,6
52426,6
52463,1
52463,6
52466,3
52501,3
52535,3
52604,6
52655,6
52658,1
52658,6
52658,7
52658,4
52720,7
52746,6
52790,6
52843,1
52850,1
52856,1
52856,6
52957,7
52958,1
52963,6
52971,1
52994,4
53010,1
53018,6
53028,1
53066,1
53124,0
53124,1
53124,3
53144,4
53145,5
53167,1
53192,1
53208,6
53221,3
53302,1
53361,3
53407,4
53462,6
53467,4
53483,1
53582,7
53659,3
53667,4
53668,6
53706,3
53709,6
53790,6
53865,1
53893,1
53916,7
53933,0
53933,1
53933,3
53933,6
53933,7
53933,2
53933,5
53933,4
53934,1
53942,4
53990,6
53996,2
54071,7
54073,5
54092,6
54128,7
54129,0
54135,6
54168,6
54232,1
54232,4
54289,7
54309,6
54388,1
54406,4
54427,7
54505,7
54521,1
54532,3
54569,1
54573,4
54595,6
54599,1
54603,6
54639,6
54658,6
54662,1
54679,0
54679,1
54694,6
54736,0
54745,6
54813,1
54840,6
54860,0
54860,1
54860,3
54860,6
54860,7
54860,2
54860,4
54868,6
54878,3
54880,3
54934,7
55070,6
55087,7
55131,1
55131,3
55131,6
55131,7
55131,5
55131,4
55147,1
55223,4
55240,1
55250,1
55251,3
55303,6
55328,5
55363,1
55363,3
55363,6
55396,1
55396,6
55442,6
55443,6
55456,6
55529,6
55585,6
55589,6
55602,1
55606,6
55610,6
55619,6
55639,6
55678,6
55690,6
55713,6
55757,3
55791,1
55809,6
55858,1
55858,3
55858,6
55858,4
55874,6
55956,3
56010,6
56090,6
56132,6
56151,3
56179,3
56187,1
56240,7
56248,1
56252,3
56256,7
56265,1
56306,7
56349,6
56402,4
56412,1
56417,6
56428,5
56463,3
56485,1
56485,3
56485,2
56491,1
56546,3
56608,1
56615,3
56675,6
56713,6
56756,1
56757,6
56808,7
56926,6
56955,3
56972,7
57044,5
57070,0
57070,1
57098,1
57106,3
57150,3
57169,3
57193,6
57209,1
57223,7
57234,6
57328,4
57351,1
57374,7
57432,6
57435,1
57438,6
57449,1
57450,7
57465,6
57472,3
57574,1
57581,1
57581,6
57616,1
57649,6
57664,6
57690,2
57695,6
57746,6
57757,6
57802,6
57823,4
57843,1
57894,6
57905,3
57932,1
57932,6
57937,6
57955,3
57957,3
57966,4
57968,4
57970,1
57972,1
57973,6
57983,4
58046,4
58074,1
58102,3
58105,1
58214,1
58214,6
58215,6
58216,1
58216,3
58216,6
58226,3
58229,6
58251,6
58262,3
58317,0
58324,1
58348,6
58405,6
58460,6
58466,6
58515,6
58532,3
58532,6
58532,4
58557,3
58594,1
58602,3
58695,3
58739,0
58748,1
58748,3
58748,6
58778,4
58779,6
58829,6
58858,3
58887,4
58895,6
58916,6
58916,7
58943,6
58952,3
59108,3
59125,6
59127,7
59147,1
59180,6
59204,6
59213,6
59216,7
59229,1
59229,6
59275,1
59280,6
59283,3
59283,5
59284,3
59305,0
59309,1
59398,6
59423,6
59431,3
59431,6
59431,2
59431,4
59449,3
59456,3
59456,6
59457,5
59499,1
59545,6
59571,1
59576,6
59579,3
59610,3
59652,6
59682,4
59743,7
59748,6
59759,0
59759,1
59759,3
59759,6
59759,7
59759,2
59759,5
59759,4
59779,1
59786,7
